taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,VTS,2014-11-01T00:47:00.000+08:00,2014-11-01T01:00:00.000+08:00,"",1,0,0,-73.96096,40.81878,-73.92362,40.8084,5,2.71,11.5,0.5,0.5,2.4,0.0,0.0,14.9,CRD
yellow,VTS,2014-11-01T00:28:00.000+08:00,2014-11-01T01:00:00.000+08:00,"",1,0,0,-73.990148,40.729315,-73.954933,40.769335,5,4.67,23.5,0.5,0.5,6.0,0.0,0.0,30.5,CRD
yellow,VTS,2014-11-01T00:39:00.000+08:00,2014-11-01T01:00:00.000+08:00,"",1,0,0,-73.980122,40.742847,-73.977007,40.784257,2,4.52,17.0,0.5,0.5,4.38,0.0,0.0,22.38,CRD
yellow,VTS,2014-11-01T00:46:00.000+08:00,2014-11-01T00:56:00.000+08:00,"",1,0,0,-73.932773,40.703382,-73.951693,40.691347,1,1.7,8.5,0.5,0.5,2.25,0.0,0.0,11.75,CRD
yellow,VTS,2014-11-01T00:06:00.000+08:00,2014-11-01T00:59:00.000+08:00,"",1,0,0,-73.997955,40.729407,-73.884077,40.748452,3,8.18,37.5,0.5,0.5,0.0,0.0,0.0,38.5,CSH
yellow,VTS,2014-11-01T00:53:00.000+08:00,2014-11-01T00:58:00.000+08:00,"",1,0,0,-73.992345,40.743207,-73.991607,40.74968,1,0.69,5.0,0.5,0.5,0.0,0.0,0.0,6.0,CSH
yellow,VTS,2014-11-01T00:23:00.000+08:00,2014-11-01T00:59:00.000+08:00,"",1,0,0,-73.989565,40.723077,-73.868945,40.763,1,9.73,34.0,0.5,0.5,0.0,0.0,0.0,35.0,CSH
yellow,VTS,2014-11-01T00:54:00.000+08:00,2014-11-01T00:59:00.000+08:00,"",1,0,0,-73.95656,40.775232,-73.953597,40.788007,1,1.17,6.0,0.5,0.5,1.3,0.0,0.0,8.3,CRD
yellow,VTS,2014-11-01T00:53:00.000+08:00,2014-11-01T00:57:00.000+08:00,"",1,0,0,-73.982272,40.739707,-73.975442,40.751047,5,1.02,5.0,0.5,0.5,1.38,0.0,0.0,7.38,CRD
yellow,VTS,2014-11-01T00:44:00.000+08:00,2014-11-01T00:59:00.000+08:00,"",1,0,0,-73.968715,40.759777,-73.953245,40.758137,1,3.8,14.0,0.5,0.5,0.0,0.0,0.0,15.0,CSH
yellow,VTS,2014-11-01T00:41:00.000+08:00,2014-11-01T00:58:00.000+08:00,"",1,0,0,-73.9832,40.726392,-73.974978,40.743557,5,2.2,12.5,0.5,0.5,2.0,0.0,0.0,15.5,CRD
yellow,VTS,2014-11-01T00:30:00.000+08:00,2014-11-01T01:00:00.000+08:00,"",1,0,0,-73.985327,40.730722,-74.004595,40.645277,3,9.95,31.5,0.5,0.5,6.0,5.33,0.0,43.83,CRD
yellow,VTS,2014-11-01T00:56:00.000+08:00,2014-11-01T00:59:00.000+08:00,"",1,0,0,-73.98726,40.760442,-73.984078,40.75979,5,0.23,3.5,0.5,0.5,0.0,0.0,0.0,4.5,CSH
yellow,VTS,2014-11-01T00:40:00.000+08:00,2014-11-01T00:59:00.000+08:00,"",1,0,0,-73.97093,40.7615,-73.99587,40.72787,6,2.76,14.5,0.5,0.5,0.0,0.0,0.0,15.5,CSH
yellow,VTS,2014-11-01T00:46:00.000+08:00,2014-11-01T00:58:00.000+08:00,"",1,0,0,-73.96357,40.75774,-73.97432,40.76231,1,1.49,9.0,0.5,0.5,2.85,0.0,0.0,12.85,CRD
yellow,VTS,2014-11-01T00:41:00.000+08:00,2014-11-01T01:00:00.000+08:00,"",1,0,0,-74.00233,40.718862,-73.98332,40.73847,3,2.04,13.0,0.5,0.5,0.0,0.0,0.0,14.0,CSH
yellow,VTS,2014-11-01T00:45:00.000+08:00,2014-11-01T00:58:00.000+08:00,"",1,0,0,-73.994615,40.740202,-73.982872,40.777152,1,2.99,12.0,0.5,0.5,2.5,0.0,0.0,15.5,CRD
yellow,CMT,2014-11-05T17:22:28.000+08:00,2014-11-05T17:41:16.000+08:00,N,1,0,0,-73.977796,40.71966,-73.995258,40.739186,2,2.8,14.0,1.0,0.5,4.65,0.0,0.0,20.15,CRD
yellow,VTS,2014-11-01T00:48:00.000+08:00,2014-11-01T00:59:00.000+08:00,"",1,0,0,-73.971268,40.795092,-73.95622,40.821445,2,2.87,11.5,0.5,0.5,0.0,0.0,0.0,12.5,CRD
yellow,VTS,2014-11-01T00:39:00.000+08:00,2014-11-01T00:58:00.000+08:00,"",1,0,0,-73.95533,40.768762,-73.923712,40.767952,1,4.4,17.0,0.5,0.5,0.0,0.0,0.0,18.0,CSH
yellow,VTS,2014-11-01T00:29:00.000+08:00,2014-11-01T00:57:00.000+08:00,"",1,0,0,-73.972558,40.784977,-73.99541,40.7317,1,4.84,21.0,0.5,0.5,4.3,0.0,0.0,26.3,CRD
yellow,VTS,2014-11-01T00:56:00.000+08:00,2014-11-01T00:59:00.000+08:00,"",1,0,0,-73.96684,40.756895,-73.972258,40.75532,2,0.45,4.5,0.5,0.5,0.0,0.0,0.0,5.5,CSH
yellow,VTS,2014-11-01T00:39:00.000+08:00,2014-11-01T00:56:00.000+08:00,"",1,0,0,-73.927767,40.767617,-73.95097,40.727772,3,3.6,15.0,0.5,0.5,3.88,0.0,0.0,19.88,CRD
yellow,VTS,2014-11-01T00:43:00.000+08:00,2014-11-01T00:56:00.000+08:00,"",1,0,0,-73.94348,40.79604,-73.93098,40.85216,4,4.86,16.0,0.5,0.5,0.0,0.0,0.0,17.0,CRD
yellow,VTS,2014-11-01T00:45:00.000+08:00,2014-11-01T00:58:00.000+08:00,"",1,0,0,-73.987985,40.764535,-73.962208,40.75921,2,2.08,10.5,0.5,0.5,2.2,0.0,0.0,13.7,CRD
yellow,VTS,2014-11-01T01:31:00.000+08:00,2014-11-01T01:35:00.000+08:00,"",1,0,0,-73.952408,40.776987,-73.946252,40.780885,6,0.63,4.5,0.5,0.5,0.0,0.0,0.0,5.5,CSH
yellow,VTS,2014-11-01T01:27:00.000+08:00,2014-11-01T01:34:00.000+08:00,"",1,0,0,-73.9618,40.800567,-73.951845,40.78627,1,1.66,7.5,0.5,0.5,1.6,0.0,0.0,10.1,CRD
